Abbreviation,TeamName,GridPosition,Position,ClassifiedPosition,Status,Points,Year,Race,Round,DNFType
RUS,Mercedes,7.0,6.0,6,Finished,8.0,2024,Saudi Arabian Grand Prix,2,Finished
BEA,Ferrari,11.0,7.0,7,Finished,6.0,2024,Saudi Arabian Grand Prix,2,Finished
NOR,McLaren,6.0,8.0,8,Finished,4.0,2024,Saudi Arabian Grand Prix,2,Finished
HAM,Mercedes,8.0,9.0,9,Finished,2.0,2024,Saudi Arabian Grand Prix,2,Finished
HUL,Haas F1 Team,15.0,10.0,10,Finished,1.0,2024,Saudi Arabian Grand Prix,2,Finished
ALB,Williams,12.0,11.0,11,Finished,0.0,2024,Saudi Arabian Grand Prix,2,Finished
MAG,Haas F1 Team,13.0,12.0,12,Finished,0.0,2024,Saudi Arabian Grand Prix,2,Finished
OCO,Alpine,17.0,13.0,13,Lapped,0.0,2024,Saudi Arabian Grand Prix,2,Finished
SAR,Williams,19.0,14.0,14,Lapped,0.0,2024,Saudi Arabian Grand Prix,2,Finished
TSU,RB,9.0,15.0,15,Lapped,0.0,2024,Saudi Arabian Grand Prix,2,Finished
RIC,RB,14.0,16.0,16,Lapped,0.0,2024,Saudi Arabian Grand Prix,2,Finished
BOT,Kick Sauber,16.0,17.0,17,Lapped,0.0,2024,Saudi Arabian Grand Prix,2,Finished
ZHO,Kick Sauber,20.0,18.0,18,Lapped,0.0,2024,Saudi Arabian Grand Prix,2,Finished
STR,Aston Martin,10.0,19.0,R,Retired,0.0,2024,Saudi Arabian Grand Prix,2,CarDNF
GAS,Alpine,18.0,20.0,R,Retired,0.0,2024,Saudi Arabian Grand Prix,2,CarDNF
SAI,Ferrari,2.0,1.0,1,Finished,25.0,2024,Australian Grand Prix,3,Finished
LEC,Ferrari,4.0,2.0,2,Finished,19.0,2024,Australian Grand Prix,3,Finished
NOR,McLaren,3.0,3.0,3,Finished,15.0,2024,Australian Grand Prix,3,Finished
PIA,McLaren,5.0,4.0,4,Finished,12.0,2024,Australian Grand Prix,3,Finished
PER,Red Bull Racing,6.0,5.0,5,Finished,10.0,2024,Australian Grand Prix,3,Finished
STR,Aston Martin,9.0,6.0,6,Finished,8.0,2024,Australian Grand Prix,3,Finished
TSU,RB,8.0,7.0,7,Finished,6.0,2024,Australian Grand Prix,3,Finished
ALO,Aston Martin,10.0,8.0,8,Finished,4.0,2024,Australian Grand Prix,3,Finished
HUL,Haas F1 Team,16.0,9.0,9,Finished,2.0,2024,Australian Grand Prix,3,Finished
MAG,Haas F1 Team,14.0,10.0,10,Lapped,1.0,2024,Australian Grand Prix,3,Finished
ALB,Williams,12.0,11.0,11,Lapped,0.0,2024,Australian Grand Prix,3,Finished
RIC,RB,18.0,12.0,12,Lapped,0.0,2024,Australian Grand Prix,3,Finished
GAS,Alpine,17.0,13.0,13,Lapped,0.0,2024,Australian Grand Prix,3,Finished
BOT,Kick Sauber,13.0,14.0,14,Lapped,0.0,2024,Australian Grand Prix,3,Finished
ZHO,Kick Sauber,19.0,15.0,15,Lapped,0.0,2024,Australian Grand Prix,3,Finished
OCO,Alpine,15.0,16.0,16,Lapped,0.0,2024,Australian Grand Prix,3,Finished
RUS,Mercedes,7.0,17.0,17,Retired,0.0,2024,Australian Grand Prix,3,CarDNF
HAM,Mercedes,11.0,18.0,R,Retired,0.0,2024,Australian Grand Prix,3,CarDNF
VER,Red Bull Racing,1.0,19.0,R,Retired,0.0,2024,Australian Grand Prix,3,CarDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2024,Japanese Grand Prix,4,Finished
PER,Red Bull Racing,2.0,2.0,2,Finished,18.0,2024,Japanese Grand Prix,4,Finished
SAI,Ferrari,4.0,3.0,3,Finished,15.0,2024,Japanese Grand Prix,4,Finished
LEC,Ferrari,8.0,4.0,4,Finished,12.0,2024,Japanese Grand Prix,4,Finished
NOR,McLaren,3.0,5.0,5,Finished,10.0,2024,Japanese Grand Prix,4,Finished
ALO,Aston Martin,5.0,6.0,6,Finished,8.0,2024,Japanese Grand Prix,4,Finished
RUS,Mercedes,9.0,7.0,7,Finished,6.0,2024,Japanese Grand Prix,4,Finished
PIA,McLaren,6.0,8.0,8,Finished,4.0,2024,Japanese Grand Prix,4,Finished
HAM,Mercedes,7.0,9.0,9,Finished,2.0,2024,Japanese Grand Prix,4,Finished
TSU,RB,10.0,10.0,10,Lapped,1.0,2024,Japanese Grand Prix,4,Finished
HUL,Haas F1 Team,12.0,11.0,11,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
STR,Aston Martin,16.0,12.0,12,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
MAG,Haas F1 Team,18.0,13.0,13,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
BOT,Kick Sauber,13.0,14.0,14,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
OCO,Alpine,15.0,15.0,15,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
GAS,Alpine,17.0,16.0,16,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
SAR,Williams,19.0,17.0,17,Lapped,0.0,2024,Japanese Grand Prix,4,Finished
ZHO,Kick Sauber,20.0,18.0,R,Retired,0.0,2024,Japanese Grand Prix,4,CarDNF
RIC,RB,11.0,19.0,R,Retired,0.0,2024,Japanese Grand Prix,4,CarDNF
ALB,Williams,14.0,20.0,R,Retired,0.0,2024,Japanese Grand Prix,4,CarDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,25.0,2024,Chinese Grand Prix,5,Finished
NOR,McLaren,4.0,2.0,2,Finished,18.0,2024,Chinese Grand Prix,5,Finished
PER,Red Bull Racing,2.0,3.0,3,Finished,15.0,2024,Chinese Grand Prix,5,Finished
LEC,Ferrari,6.0,4.0,4,Finished,12.0,2024,Chinese Grand Prix,5,Finished
SAI,Ferrari,7.0,5.0,5,Finished,10.0,2024,Chinese Grand Prix,5,Finished
RUS,Mercedes,8.0,6.0,6,Finished,8.0,2024,Chinese Grand Prix,5,Finished
ALO,Aston Martin,3.0,7.0,7,Finished,7.0,2024,Chinese Grand Prix,5,Finished
PIA,McLaren,5.0,8.0,8,Finished,4.0,2024,Chinese Grand Prix,5,Finished
HAM,Mercedes,18.0,9.0,9,Finished,2.0,2024,Chinese Grand Prix,5,Finished
HUL,Haas F1 Team,9.0,10.0,10,Finished,1.0,2024,Chinese Grand Prix,5,Finished
OCO,Alpine,13.0,11.0,11,Finished,0.0,2024,Chinese Grand Prix,5,Finished
ALB,Williams,14.0,12.0,12,Finished,0.0,2024,Chinese Grand Prix,5,Finished
GAS,Alpine,15.0,13.0,13,Finished,0.0,2024,Chinese Grand Prix,5,Finished
ZHO,Kick Sauber,16.0,14.0,14,Finished,0.0,2024,Chinese Grand Prix,5,Finished
STR,Aston Martin,11.0,15.0,15,Finished,0.0,2024,Chinese Grand Prix,5,Finished
MAG,Haas F1 Team,17.0,16.0,16,Finished,0.0,2024,Chinese Grand Prix,5,Finished
SAR,Williams,20.0,17.0,17,Finished,0.0,2024,Chinese Grand Prix,5,Finished
RIC,RB,12.0,18.0,R,Retired,0.0,2024,Chinese Grand Prix,5,CarDNF
TSU,RB,19.0,19.0,R,Retired,0.0,2024,Chinese Grand Prix,5,CarDNF
BOT,Kick Sauber,10.0,20.0,R,Retired,0.0,2024,Chinese Grand Prix,5,CarDNF
NOR,McLaren,5.0,1.0,1,Finished,25.0,2024,Miami Grand Prix,6,Finished
VER,Red Bull Racing,1.0,2.0,2,Finished,18.0,2024,Miami Grand Prix,6,Finished
LEC,Ferrari,2.0,3.0,3,Finished,15.0,2024,Miami Grand Prix,6,Finished
PER,Red Bull Racing,4.0,4.0,4,Finished,12.0,2024,Miami Grand Prix,6,Finished
SAI,Ferrari,3.0,5.0,5,Finished,10.0,2024,Miami Grand Prix,6,Finished
HAM,Mercedes,8.0,6.0,6,Finished,8.0,2024,Miami Grand Prix,6,Finished
TSU,RB,10.0,7.0,7,Finished,6.0,2024,Miami Grand Prix,6,Finished
RUS,Mercedes,7.0,8.0,8,Finished,4.0,2024,Miami Grand Prix,6,Finished
ALO,Aston Martin,15.0,9.0,9,Finished,2.0,2024,Miami Grand Prix,6,Finished
OCO,Alpine,13.0,10.0,10,Finished,1.0,2024,Miami Grand Prix,6,Finished
HUL,Haas F1 Team,9.0,11.0,11,Finished,0.0,2024,Miami Grand Prix,6,Finished
GAS,Alpine,12.0,12.0,12,Finished,0.0,2024,Miami Grand Prix,6,Finished
PIA,McLaren,6.0,13.0,13,Finished,0.0,2024,Miami Grand Prix,6,Finished
ZHO,Kick Sauber,19.0,14.0,14,Finished,0.0,2024,Miami Grand Prix,6,Finished
RIC,RB,20.0,15.0,15,Finished,0.0,2024,Miami Grand Prix,6,Finished
BOT,Kick Sauber,16.0,16.0,16,Finished,0.0,2024,Miami Grand Prix,6,Finished
STR,Aston Martin,11.0,17.0,17,Finished,0.0,2024,Miami Grand Prix,6,Finished
ALB,Williams,14.0,18.0,18,Finished,0.0,2024,Miami Grand Prix,6,Finished
MAG,Haas F1 Team,18.0,19.0,19,Finished,0.0,2024,Miami Grand Prix,6,Finished
SAR,Williams,17.0,20.0,R,Retired,0.0,2024,Miami Grand Prix,6,CarDNF
VER,Red Bull Racing,1.0,1.0,1,Finished,25.0,2024,Emilia Romagna Grand Prix,7,Finished
NOR,McLaren,2.0,2.0,2,Finished,18.0,2024,Emilia Romagna Grand Prix,7,Finished
LEC,Ferrari,3.0,3.0,3,Finished,15.0,2024,Emilia Romagna Grand Prix,7,Finished
PIA,McLaren,5.0,4.0,4,Finished,12.0,2024,Emilia Romagna Grand Prix,7,Finished
SAI,Ferrari,4.0,5.0,5,Finished,10.0,2024,Emilia Romagna Grand Prix,7,Finished
HAM,Mercedes,8.0,6.0,6,Finished,8.0,2024,Emilia Romagna Grand Prix,7,Finished
RUS,Mercedes,6.0,7.0,7,Finished,7.0,2024,Emilia Romagna Grand Prix,7,Finished
PER,Red Bull Racing,11.0,8.0,8,Finished,4.0,2024,Emilia Romagna Grand Prix,7,Finished
STR,Aston Martin,13.0,9.0,9,Finished,2.0,2024,Emilia Romagna Grand Prix,7,Finished
TSU,RB,7.0,10.0,10,Lapped,1.0,2024,Emilia Romagna Grand Prix,7,Finished
HUL,Haas F1 Team,10.0,11.0,11,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
MAG,Haas F1 Team,18.0,12.0,12,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
RIC,RB,9.0,13.0,13,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
OCO,Alpine,12.0,14.0,14,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
ZHO,Kick Sauber,17.0,15.0,15,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
GAS,Alpine,15.0,16.0,16,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
SAR,Williams,19.0,17.0,17,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
BOT,Kick Sauber,16.0,18.0,18,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
ALO,Aston Martin,20.0,19.0,19,Lapped,0.0,2024,Emilia Romagna Grand Prix,7,Finished
ALB,Williams,14.0,20.0,R,Retired,0.0,2024,Emilia Romagna Grand Prix,7,CarDNF
LEC,Ferrari,1.0,1.0,1,Finished,25.0,2024,Monaco Grand Prix,8,Finished
PIA,McLaren,2.0,2.0,2,Finished,18.0,2024,Monaco Grand Prix,8,Finished
SAI,Ferrari,3.0,3.0,3,Finished,15.0,2024,Monaco Grand Prix,8,Finished
NOR,McLaren,4.0,4.0,4,Finished,12.0,2024,Monaco Grand Prix,8,Finished
RUS,Mercedes,5.0,5.0,5,Finished,10.0,2024,Monaco Grand Prix,8,Finished
VER,Red Bull Racing,6.0,6.0,6,Finished,8.0,2024,Monaco Grand Prix,8,Finished
HAM,Mercedes,7.0,7.0,7,Finished,7.0,2024,Monaco Grand Prix,8,Finished
TSU,RB,8.0,8.0,8,Lapped,4.0,2024,Monaco Grand Prix,8,Finished
ALB,Williams,9.0,9.0,9,Lapped,2.0,2024,Monaco Grand Prix,8,Finished
GAS,Alpine,10.0,10.0,10,Lapped,1.0,2024,Monaco Grand Prix,8,Finished
ALO,Aston Martin,14.0,11.0,11,Lapped,0.0,2024,Monaco Grand Prix,8,Finished
RIC,RB,12.0,12.0,12,Lapped,0.0,2024,Monaco Grand Prix,8,Finished
BOT,Kick Sauber,17.0,13.0,13,Lapped,0.0,2024,Monaco Grand Prix,8,Finished
STR,Aston Martin,13.0,14.0,14,Lapped,0.0,2024,Monaco Grand Prix,8,Finished
SAR,Williams,15.0,15.0,15,Lapped,0.0,2024,Monaco Grand Prix,8,Finished
ZHO,Kick Sauber,18.0,16.0,16,Lapped,0.0,2024,Monaco Grand Prix,8,Finished
OCO,Alpine,11.0,17.0,R,Retired,0.0,2024,Monaco Grand Prix,8,CarDNF
PER,Red Bull Racing,16.0,18.0,R,Retired,0.0,2024,Monaco Grand Prix,8,CarDNF
HUL,Haas F1 Team,19.0,19.0,R,Retired,0.0,2024,Monaco Grand Prix,8,CarDNF
MAG,Haas F1 Team,20.0,20.0,R,Retired,0.0,2024,Monaco Grand Prix,8,CarDNF
VER,Red Bull Racing,2.0,1.0,1,Finished,25.0,2024,Canadian Grand Prix,9,Finished
NOR,McLaren,3.0,2.0,2,Finished,18.0,2024,Canadian Grand Prix,9,Finished
RUS,Mercedes,1.0,3.0,3,Finished,15.0,2024,Canadian Grand Prix,9,Finished
HAM,Mercedes,7.0,4.0,4,Finished,13.0,2024,Canadian Grand Prix,9,Finished
PIA,McLaren,4.0,5.0,5,Finished,10.0,2024,Canadian Grand Prix,9,Finished
ALO,Aston Martin,6.0,6.0,6,Finished,8.0,2024,Canadian Grand Prix,9,Finished
STR,Aston Martin,9.0,7.0,7,Finished,6.0,2024,Canadian Grand Prix,9,Finished
RIC,RB,5.0,8.0,8,Finished,4.0,2024,Canadian Grand Prix,9,Finished
GAS,Alpine,15.0,9.0,9,Finished,2.0,2024,Canadian Grand Prix,9,Finished
OCO,Alpine,18.0,10.0,10,Finished,1.0,2024,Canadian Grand Prix,9,Finished
HUL,Haas F1 Team,17.0,11.0,11,Finished,0.0,2024,Canadian Grand Prix,9,Finished
MAG,Haas F1 Team,14.0,12.0,12,Finished,0.0,2024,Canadian Grand Prix,9,Finished
BOT,Kick Sauber,19.0,13.0,13,Finished,0.0,2024,Canadian Grand Prix,9,Finished
TSU,RB,8.0,14.0,14,Finished,0.0,2024,Canadian Grand Prix,9,Finished
ZHO,Kick Sauber,20.0,15.0,15,Lapped,0.0,2024,Canadian Grand Prix,9,Finished
SAI,Ferrari,12.0,16.0,R,Retired,0.0,2024,Canadian Grand Prix,9,CarDNF
ALB,Williams,10.0,17.0,R,Retired,0.0,2024,Canadian Grand Prix,9,CarDNF
PER,Red Bull Racing,16.0,18.0,R,Retired,0.0,2024,Canadian Grand Prix,9,CarDNF
LEC,Ferrari,11.0,19.0,R,Retired,0.0,2024,Canadian Grand Prix,9,CarDNF
SAR,Williams,13.0,20.0,R,Retired,0.0,2024,Canadian Grand Prix,9,CarDNF
VER,Red Bull Racing,2.0,1.0,1,Finished,25.0,2024,Spanish Grand Prix,10,Finished
NOR,McLaren,1.0,2.0,2,Finished,19.0,2024,Spanish Grand Prix,10,Finished
HAM,Mercedes,3.0,3.0,3,Finished,15.0,2024,Spanish Grand Prix,10,Finished
RUS,Mercedes,4.0,4.0,4,Finished,12.0,2024,Spanish Grand Prix,10,Finished
LEC,Ferrari,5.0,5.0,5,Finished,10.0,2024,Spanish Grand Prix,10,Finished
SAI,Ferrari,6.0,6.0,6,Finished,8.0,2024,Spanish Grand Prix,10,Finished
PIA,McLaren,9.0,7.0,7,Finished,6.0,2024,Spanish Grand Prix,10,Finished
PER,Red Bull Racing,11.0,8.0,8,Finished,4.0,2024,Spanish Grand Prix,10,Finished
GAS,Alpine,7.0,9.0,9,Finished,2.0,2024,Spanish Grand Prix,10,Finished
OCO,Alpine,8.0,10.0,10,Finished,1.0,2024,Spanish Grand Prix,10,Finished
HUL,Haas F1 Team,13.0,11.0,11,Finished,0.0,2024,Spanish Grand Prix,10,Finished
ALO,Aston Martin,10.0,12.0,12,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
ZHO,Kick Sauber,15.0,13.0,13,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
STR,Aston Martin,14.0,14.0,14,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
RIC,RB,18.0,15.0,15,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
BOT,Kick Sauber,12.0,16.0,16,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
MAG,Haas F1 Team,16.0,17.0,17,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
ALB,Williams,20.0,18.0,18,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
TSU,RB,17.0,19.0,19,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
SAR,Williams,19.0,20.0,20,Lapped,0.0,2024,Spanish Grand Prix,10,Finished
RUS,Mercedes,3.0,1.0,1,Finished,25.0,2024,Austrian Grand Prix,11,Finished
PIA,McLaren,7.0,2.0,2,Finished,18.0,2024,Austrian Grand Prix,11,Finished
SAI,Ferrari,4.0,3.0,3,Finished,15.0,2024,Austrian Grand Prix,11,Finished
HAM,Mercedes,5.0,4.0,4,Finished,12.0,2024,Austrian Grand Prix,11,Finished
VER,Red Bull Racing,1.0,5.0,5,Finished,10.0,2024,Austrian Grand Prix,11,Finished
HUL,Haas F1 Team,9.0,6.0,6,Finished,8.0,2024,Austrian Grand Prix,11,Finished
PER,Red Bull Racing,8.0,7.0,7,Finished,6.0,2024,Austrian Grand Prix,11,Finished
MAG,Haas F1 Team,12.0,8.0,8,Finished,4.0,2024,Austrian Grand Prix,11,Finished
RIC,RB,11.0,9.0,9,Finished,2.0,2024,Austrian Grand Prix,11,Finished
GAS,Alpine,13.0,10.0,10,Finished,1.0,2024,Austrian Grand Prix,11,Finished
LEC,Ferrari,6.0,11.0,11,Finished,0.0,2024,Austrian Grand Prix,11,Finished
OCO,Alpine,10.0,12.0,12,Finished,0.0,2024,Austrian Grand Prix,11,Finished
STR,Aston Martin,17.0,13.0,13,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
TSU,RB,14.0,14.0,14,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
ALB,Williams,16.0,15.0,15,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
BOT,Kick Sauber,18.0,16.0,16,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
ZHO,Kick Sauber,20.0,17.0,17,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
ALO,Aston Martin,15.0,18.0,18,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
SAR,Williams,19.0,19.0,19,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
NOR,McLaren,2.0,20.0,20,Lapped,0.0,2024,Austrian Grand Prix,11,Finished
HAM,Mercedes,2.0,1.0,1,Finished,25.0,2024,British Grand Prix,12,Finished
VER,Red Bull Racing,4.0,2.0,2,Finished,18.0,2024,British Grand Prix,12,Finished
NOR,McLaren,3.0,3.0,3,Finished,15.0,2024,British Grand Prix,12,Finished
PIA,McLaren,5.0,4.0,4,Finished,12.0,2024,British Grand Prix,12,Finished
SAI,Ferrari,7.0,5.0,5,Finished,11.0,2024,British Grand Prix,12,Finished
HUL,Haas F1 Team,6.0,6.0,6,Finished,8.0,2024,British Grand Prix,12,Finished
STR,Aston Martin,8.0,7.0,7,Finished,6.0,2024,British Grand Prix,12,Finished
ALO,Aston Martin,10.0,8.0,8,Finished,4.0,2024,British Grand Prix,12,Finished
ALB,Williams,9.0,9.0,9,Finished,2.0,2024,British Grand Prix,12,Finished
TSU,RB,13.0,10.0,10,Finished,1.0,2024,British Grand Prix,12,Finished
SAR,Williams,12.0,11.0,11,Finished,0.0,2024,British Grand Prix,12,Finished
MAG,Haas F1 Team,17.0,12.0,12,Finished,0.0,2024,British Grand Prix,12,Finished
RIC,RB,15.0,13.0,13,Lapped,0.0,2024,British Grand Prix,12,Finished
LEC,Ferrari,11.0,14.0,14,Lapped,0.0,2024,British Grand Prix,12,Finished
BOT,Kick Sauber,16.0,15.0,15,Lapped,0.0,2024,British Grand Prix,12,Finished
OCO,Alpine,18.0,16.0,16,Lapped,0.0,2024,British Grand Prix,12,Finished
PER,Red Bull Racing,20.0,17.0,17,Lapped,0.0,2024,British Grand Prix,12,Finished
ZHO,Kick Sauber,14.0,18.0,18,Lapped,0.0,2024,British Grand Prix,12,Finished
RUS,Mercedes,1.0,19.0,R,Retired,0.0,2024,British Grand Prix,12,CarDNF
GAS,Alpine,19.0,20.0,W,Did not start,0.0,2024,British Grand Prix,12,CarDNF
PIA,McLaren,2.0,1.0,1,Finished,25.0,2024,Hungarian Grand Prix,13,Finished
NOR,McLaren,1.0,2.0,2,Finished,18.0,2024,Hungarian Grand Prix,13,Finished
HAM,Mercedes,5.0,3.0,3,Finished,15.0,2024,Hungarian Grand Prix,13,Finished
LEC,Ferrari,6.0,4.0,4,Finished,12.0,2024,Hungarian Grand Prix,13,Finished
VER,Red Bull Racing,3.0,5.0,5,Finished,10.0,2024,Hungarian Grand Prix,13,Finished
SAI,Ferrari,4.0,6.0,6,Finished,8.0,2024,Hungarian Grand Prix,13,Finished
PER,Red Bull Racing,16.0,7.0,7,Finished,6.0,2024,Hungarian Grand Prix,13,Finished
RUS,Mercedes,17.0,8.0,8,Finished,5.0,2024,Hungarian Grand Prix,13,Finished
TSU,RB,10.0,9.0,9,Finished,2.0,2024,Hungarian Grand Prix,13,Finished
STR,Aston Martin,8.0,10.0,10,Finished,1.0,2024,Hungarian Grand Prix,13,Finished
ALO,Aston Martin,7.0,11.0,11,Finished,0.0,2024,Hungarian Grand Prix,13,Finished
RIC,RB,9.0,12.0,12,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
HUL,Haas F1 Team,11.0,13.0,13,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
ALB,Williams,13.0,14.0,14,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
MAG,Haas F1 Team,15.0,15.0,15,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
BOT,Kick Sauber,12.0,16.0,16,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
SAR,Williams,14.0,17.0,17,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
OCO,Alpine,19.0,18.0,18,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
ZHO,Kick Sauber,18.0,19.0,19,Lapped,0.0,2024,Hungarian Grand Prix,13,Finished
GAS,Alpine,20.0,20.0,R,Retired,0.0,2024,Hungarian Grand Prix,13,CarDNF
HAM,Mercedes,3.0,1.0,1,Finished,25.0,2024,Belgian Grand Prix,14,Finished
PIA,McLaren,5.0,2.0,2,Finished,18.0,2024,Belgian Grand Prix,14,Finished
LEC,Ferrari,1.0,3.0,3,Finished,15.0,2024,Belgian Grand Prix,14,Finished
VER,Red Bull Racing,11.0,4.0,4,Finished,12.0,2024,Belgian Grand Prix,14,Finished
NOR,McLaren,4.0,5.0,5,Finished,10.0,2024,Belgian Grand Prix,14,Finished
SAI,Ferrari,7.0,6.0,6,Finished,8.0,2024,Belgian Grand Prix,14,Finished
PER,Red Bull Racing,2.0,7.0,7,Finished,7.0,2024,Belgian Grand Prix,14,Finished
ALO,Aston Martin,8.0,8.0,8,Finished,4.0,2024,Belgian Grand Prix,14,Finished
OCO,Alpine,9.0,9.0,9,Finished,2.0,2024,Belgian Grand Prix,14,Finished
RIC,RB,13.0,10.0,10,Finished,1.0,2024,Belgian Grand Prix,14,Finished
STR,Aston Martin,15.0,11.0,11,Finished,0.0,2024,Belgian Grand Prix,14,Finished
ALB,Williams,10.0,12.0,12,Finished,0.0,2024,Belgian Grand Prix,14,Finished
GAS,Alpine,12.0,13.0,13,Finished,0.0,2024,Belgian Grand Prix,14,Finished
MAG,Haas F1 Team,17.0,14.0,14,Finished,0.0,2024,Belgian Grand Prix,14,Finished
BOT,Kick Sauber,14.0,15.0,15,Finished,0.0,2024,Belgian Grand Prix,14,Finished
TSU,RB,20.0,16.0,16,Finished,0.0,2024,Belgian Grand Prix,14,Finished
SAR,Williams,18.0,17.0,17,Finished,0.0,2024,Belgian Grand Prix,14,Finished
HUL,Haas F1 Team,16.0,18.0,18,Finished,0.0,2024,Belgian Grand Prix,14,Finished
ZHO,Kick Sauber,19.0,19.0,R,Retired,0.0,2024,Belgian Grand Prix,14,CarDNF
RUS,Mercedes,6.0,20.0,20,Disqualified,0.0,2024,Belgian Grand Prix,14,DriverDNF
NOR,McLaren,1.0,1.0,1,Finished,26.0,2024,Dutch Grand Prix,15,Finished
VER,Red Bull Racing,2.0,2.0,2,Finished,18.0,2024,Dutch Grand Prix,15,Finished
LEC,Ferrari,6.0,3.0,3,Finished,15.0,2024,Dutch Grand Prix,15,Finished
PIA,McLaren,3.0,4.0,4,Finished,12.0,2024,Dutch Grand Prix,15,Finished
SAI,Ferrari,10.0,5.0,5,Finished,10.0,2024,Dutch Grand Prix,15,Finished
PER,Red Bull Racing,5.0,6.0,6,Finished,8.0,2024,Dutch Grand Prix,15,Finished
RUS,Mercedes,4.0,7.0,7,Finished,6.0,2024,Dutch Grand Prix,15,Finished
HAM,Mercedes,14.0,8.0,8,Finished,4.0,2024,Dutch Grand Prix,15,Finished
GAS,Alpine,9.0,9.0,9,Lapped,2.0,2024,Dutch Grand Prix,15,Finished
ALO,Aston Martin,7.0,10.0,10,Lapped,1.0,2024,Dutch Grand Prix,15,Finished
HUL,Haas F1 Team,12.0,11.0,11,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
RIC,RB,13.0,12.0,12,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
STR,Aston Martin,8.0,13.0,13,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
ALB,Williams,19.0,14.0,14,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
OCO,Alpine,15.0,15.0,15,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
SAR,Williams,18.0,16.0,16,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
TSU,RB,11.0,17.0,17,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
MAG,Haas F1 Team,20.0,18.0,18,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
BOT,Kick Sauber,16.0,19.0,19,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
ZHO,Kick Sauber,17.0,20.0,20,Lapped,0.0,2024,Dutch Grand Prix,15,Finished
LEC,Ferrari,4.0,1.0,1,Finished,25.0,2024,Italian Grand Prix,16,Finished
PIA,McLaren,2.0,2.0,2,Finished,18.0,2024,Italian Grand Prix,16,Finished
NOR,McLaren,1.0,3.0,3,Finished,16.0,2024,Italian Grand Prix,16,Finished
SAI,Ferrari,5.0,4.0,4,Finished,12.0,2024,Italian Grand Prix,16,Finished
HAM,Mercedes,6.0,5.0,5,Finished,10.0,2024,Italian Grand Prix,16,Finished
VER,Red Bull Racing,7.0,6.0,6,Finished,8.0,2024,Italian Grand Prix,16,Finished
RUS,Mercedes,3.0,7.0,7,Finished,6.0,2024,Italian Grand Prix,16,Finished
PER,Red Bull Racing,8.0,8.0,8,Finished,4.0,2024,Italian Grand Prix,16,Finished
ALB,Williams,9.0,9.0,9,Finished,2.0,2024,Italian Grand Prix,16,Finished
MAG,Haas F1 Team,13.0,10.0,10,Finished,1.0,2024,Italian Grand Prix,16,Finished
ALO,Aston Martin,11.0,11.0,11,Finished,0.0,2024,Italian Grand Prix,16,Finished
COL,Williams,18.0,12.0,12,Finished,0.0,2024,Italian Grand Prix,16,Finished
